lat,lon,score
55.9951147,37.2075319,9225
55.7793267,37.6212104,6892
55.7434295,37.5350118,3070
55.8114853,37.8373363,8304
55.6731428,37.7504552,9825
55.7668896,37.6209567,8273
55.7163931,37.4584862,40
55.7190211,37.4613559,260
55.7263987,37.4679886,3767
55.6128345,37.7194123,5071
55.6134288,37.7060098,8440
55.6047673,37.7122756,3830
55.6046219,37.7123014,8187
55.8797095,37.5921624,501
55.5684017,37.5853483,4041
55.6102182,37.7294002,8281
55.6420491,37.5427985,6710
55.7534479,37.7125278,2354
55.6057196,37.7172733,5563
55.6044356,37.7078201,592
55.6674776,37.4949151,1056
55.664342,37.4697301,8145
55.6703642,37.4772739,1097
55.6458669,37.4860931,7076
55.6553773,37.4811464,638
55.6463514,37.4777606,9135
55.6985386,37.7793657,770
55.7800347,37.6018898,4065
55.6838684,37.8532327,9535
55.6686932,37.5914197,2469
55.596367,37.602959,5875
55.8898751,37.3883849,2700
55.7318321,37.663692,4479
55.6273874,37.6160272,379
55.6335584,37.43856,9125
55.6071348,37.7338664,8663
55.8773927,37.6820999,7446
55.9800201,37.193173,8537
55.9948669,37.1899886,9366
55.7370723,37.8658294,9404
55.7342108,37.8567176,802
55.6408932,37.3560899,5111
55.6398414,37.3542822,1989
55.6403363,37.3505608,8373
55.3587252,37.1938663,6079
55.7389939,37.4847596,8231
55.7348435,37.4740165,4450
55.7285954,37.4411435,1563
55.7614818,37.7126008,3578
55.3939818,37.2321161,1256
55.3943426,37.2326053,1036
55.6454812,37.5213375,5068
55.6408941,37.5307188,3568
55.7700958,37.6991584,9431
55.6483475,37.5183455,2354
55.720575,37.7383058,6415
55.8853539,37.6021477,7489
55.88378,37.6063764,4244
55.8827121,37.5876315,9116
55.6533549,37.620973,3682
55.6126513,37.697503,8652
55.6126189,37.6967955,5790
55.6225327,37.7051211,4585
55.6147444,37.7111756,3459
55.615006,37.7123799,8702
55.752572,37.81926,5960
55.6621165,37.525864,5241
55.6678017,37.5247774,7879
55.6558246,37.5412153,4792
55.60996,37.5364382,4195
55.6027141,37.5426295,5659
55.6001949,37.5394954,6788
55.6298827,37.6014885,8116
55.6287806,37.5996532,8676
55.6229915,37.6015325,3886
55.6146883,37.6045261,6022
55.6422161,37.6177409,9126
55.6469546,37.6048654,1285
55.6697775,37.5204207,4342
55.6713145,37.5542509,4380
55.6688975,37.5397923,138
55.6626838,37.5301337,7176
55.4724014,37.3038313,164
55.6408932,37.4770939,3523
55.6415505,37.4858575,4633
55.7375358,37.4702232,8593
55.619443,37.5009478,5273
55.6975846,37.7867573,4677
55.6749625,37.5727905,1737
55.7292947,37.6217465,4645
55.6100504,37.7202365,8141
55.8698179,37.6810968,2069
55.6886126,37.7265419,2493
55.6465508,37.7153029,4675
55.4681785,37.2970474,8324
55.469729,37.2964395,9434
55.4843274,37.2691716,1652
55.7455731,37.775553,753
55.8749057,37.6655695,5282
55.6385546,37.3580659,1736
55.6926507,37.527932,856
55.686831,37.6036132,7097
55.6891995,37.6010857,8367
55.7567427,37.6594148,7840
55.6350781,37.7960752,6966
55.6960789,37.6651207,4871
55.6165849,37.7640299,8964
55.6393697,37.3413661,2012
55.6429137,37.3472667,7542
55.6438643,37.3484592,8202
55.644734,37.3501465,4842
55.7017218,37.563179,4451
55.757837,37.6125722,3758
55.7667614,37.6010717,3089
55.7044573,37.7659249,6324
55.6357251,37.7941436,8539
55.6360594,37.7940063,5850
55.7125332,37.758823,1863
55.7006142,37.8548311,9104
55.5826206,37.6714497,9466
55.4753573,37.3066993,2180
55.8959886,37.6198951,9674
55.6993453,37.7410699,5093
55.7307293,37.6312229,7067
55.719149,37.7788044,3059
55.8050529,37.3998815,6470
55.5399202,37.5096495,2739
55.541423,37.5121705,5003
55.7766082,37.5331486,9356
55.8496625,37.6583953,9220
55.8398018,37.5274631,525
55.8410548,37.5366147,8877
55.8373377,37.5369086,7917
55.840954,37.5305378,772
55.6960497,37.8050172,8879
55.7282283,37.7639725,8081
55.7298124,37.7609692,8025
55.6279475,37.7410736,102
55.6299119,37.7410122,9297
55.6222594,37.7398944,654
55.6195853,37.7522004,5837
55.6262283,37.7494916,2821
55.8224408,37.8233173,4772
55.6144007,37.7418409,406
55.8175417,37.8072088,8524
55.8873447,37.6561872,803
55.8878535,37.6727475,5081
55.7827346,37.7264583,4864
55.7170524,37.4769631,7164
55.889991,37.6178178,4897
55.7014232,37.7910744,7558
55.8879941,37.6155998,3083
55.8494282,37.433499,8473
55.8722055,37.6767263,941
55.7512243,37.5008038,5486
55.8482742,37.4542885,5912
55.8515083,37.6464827,605
55.8520071,37.6474747,2693
55.8515484,37.6420847,1351
55.8523313,37.6375317,1479
55.654228,37.7585,4032
55.6478526,37.735601,6114
55.5468599,37.5324411,600
55.7002305,37.5061231,5078
55.7010877,37.5035386,7939
55.8046153,37.5137956,6537
55.8057063,37.3968646,1897
55.8376494,37.6604826,9503
55.8348422,37.6612719,7400
55.6460934,37.7378457,2496
55.8239453,37.497999,6369
55.7284733,37.4233988,3166
55.8984178,37.6299847,5887
55.7901142,37.6649548,7852
55.7819219,37.5344574,5177
55.6995069,37.8460705,7920
55.7545493,37.8154369,1797
55.7475446,37.5820221,8532
55.6847213,37.5432,2584
55.7846515,37.6604098,2281
55.744836,37.6112984,3679
55.8764383,37.4212814,6557
55.7946722,37.7288203,8811
55.8632157,37.59252,7468
55.6145063,37.4730788,8615
55.8393172,37.5275078,2206
55.7724501,37.6782784,7356
55.776615,37.6824766,9864
55.6344839,37.6139072,9279
55.7906782,37.6830012,2023
55.8451784,37.455293,7131
56.0134417,37.2019424,5161
55.8158917,37.3939797,4437
55.8181157,37.4000178,716
55.807562,37.5598473,3268
55.7744079,37.5998733,7447
55.7438929,37.8749146,6035
55.6254952,37.7161916,6884
55.743211,37.8792449,5258
55.7973105,37.7180859,7740
55.7971127,37.716816,5604
55.7983608,37.7262648,3126
55.6031353,37.541524,6684
55.6070435,37.5365007,3491
55.6314727,37.4787179,8130
55.5916124,37.5985941,9671
55.6138367,37.494126,3113
55.6063387,37.7419518,8848
55.6050979,37.7489531,8668
55.6491512,37.6061067,8393
55.6522373,37.6111664,4186
55.5966684,37.6634424,2285
55.7453092,37.8179678,1708
55.6589561,37.4027403,8255
55.6537776,37.5989284,8672
55.8235174,37.8076079,7552
55.8156003,37.7974934,7937
55.8081609,37.799399,6212
55.80842,37.7980868,7668
55.5673693,37.5693254,4336
55.6414523,37.5236039,5725
55.6452716,37.5255459,9743
55.6189658,37.5066885,3461
55.6481871,37.4075355,109
55.8629043,37.6454878,8115
55.8501924,37.4110441,4419
55.6361973,37.5113429,513
55.7475354,37.8066746,7496
55.644177,37.4948607,3130
55.5644688,37.5743787,3092
55.8499326,37.4244894,2916
55.850284,37.4276975,9009
55.8705301,37.4610852,1729
55.8551258,37.4778037,9381
55.8815664,37.4889103,4166
55.8938054,37.5254484,6914
55.8898544,37.5372816,773
55.8556113,37.4705048,5646
55.8674251,37.4892615,417
55.8663,37.4924,5706
55.809603,37.465611,1860
55.8054955,37.4141906,1418
55.8000355,37.4074419,902
55.7781077,37.5264192,9284
55.8088028,37.493539,809
55.8201932,37.7975131,7267
55.6516601,37.3976096,4749
55.8784857,37.6303919,9722
55.8754832,37.6212682,6185
55.8639454,37.4700592,1176
55.8462378,37.3577058,4395
55.6570578,37.4066882,691
55.645064,37.398311,858
55.8055997,37.413063,5579
55.8722214,37.6496841,9491
55.8772079,37.651871,415
55.8628818,37.6616408,2021
55.8621076,37.6677882,6684
55.7438274,37.8743666,3884
55.8358397,37.3860802,1528
55.6528178,37.3962502,6086
55.7277797,37.6368336,2958
55.6383073,37.6963692,968
55.83446,37.45062,9166
55.8539373,37.501589,171
55.5332861,37.5247494,7583
55.612822,37.5930082,2530
55.6135895,37.5809026,3524
55.6506456,37.5602139,6280
55.6660831,37.4883014,8172
55.7157525,37.7716325,8140
55.7167195,37.7751365,7618
55.7649248,37.7883993,2307
55.8882478,37.6576523,3122
55.7557724,37.6969041,5076
55.7237322,37.8286777,878
55.7381023,37.8303576,5729
55.7125296,37.8164929,3042
55.6721926,37.5507669,9047
55.6725681,37.5497829,1374
55.8591044,37.6551991,3201
55.8578218,37.6537397,6801
55.7191433,37.8236237,2709
55.7216815,37.5909235,375
55.8877336,37.6767609,8024
55.8028852,37.7640932,4069
55.8121669,37.8269633,8095
55.6556701,37.5718489,1252
55.8725996,37.6935494,6504
55.8731779,37.6299403,3873
55.5835973,37.6828984,2674
55.8736386,37.6367825,3681
55.8678576,37.6226147,6532
55.8755652,37.6374734,1258
55.598237,37.5128416,9074
55.8236888,37.8176046,670
55.7957485,37.5936274,1661
55.7967721,37.5939098,6489
55.6923724,37.5518097,3466
55.6927353,37.5496532,9712
55.6930571,37.5582752,4181
55.44684,37.2519475,7785
55.4994492,37.3054402,8514
55.802502,37.8035719,2193
55.7785954,37.7279839,9327
55.8898015,37.5934075,6363
55.8155945,37.6539777,7406
55.738611,37.4136294,8487
55.6507537,37.400336,9065
55.8176582,37.8146748,1350
55.8671811,37.7042432,9280
55.8178291,37.8205757,9196
55.8878758,37.5893934,9001
55.8951379,37.5912457,7205
55.7384035,37.7637383,9535
55.7472821,37.7569707,378
55.7490003,37.6496691,313
55.6025772,37.3489678,9063
55.598092,37.354248,9433
55.59468,37.3648329,7379
55.4303784,36.8685933,4688
55.4305781,36.8682916,2332
55.5987003,37.6640102,9583
55.6207664,37.4721972,9342
55.8447593,37.6605186,9632
55.8508384,37.4096974,5468
55.7265585,37.5821937,5132
55.8243458,37.5282108,485
55.7031113,37.842188,1211
55.6758565,37.6619094,3065
55.5074479,37.5684073,6165
55.8764097,37.7015865,5113
55.878681,37.6975476,6332
55.7972816,37.460562,6528
55.8320744,37.6612274,6356
55.8339496,37.5684341,5922
55.679031,37.5598944,2190
55.850796,37.4323524,7582
55.8369961,37.6416825,5955
55.6408201,37.3650518,5449
55.6854079,37.5685326,7715
55.7756311,37.658553,5516
55.6473667,37.2696912,3866
55.7174324,37.4139144,5681
55.6666758,37.5520792,8670
55.6547606,37.7654194,3949
55.8752747,37.5644677,9695
55.7933801,37.819708,9576
55.7932732,37.8143566,9780
55.8575261,37.4196314,1577
55.8577594,37.4213617,2712
55.8698422,37.6311878,1000
55.8196711,37.8026989,3062
55.716928,37.6189027,6640
55.7257723,37.4496593,6972
55.7142201,37.6148358,47
55.8193193,37.825191,4541
55.7435204,37.5071174,8858
55.6473644,37.4151836,9670
55.6496726,37.4101407,1250
55.7367648,37.4905372,8255
55.6562593,37.4027126,4306
55.8638717,37.4250872,8094
55.8747537,37.708538,1053
55.6412581,37.3595846,9857
55.6367687,37.6729192,6106
55.7203912,37.7861634,8210
55.7770929,37.6152783,993
55.4488114,37.5101034,9114
55.6018718,37.5885038,6839
55.8143416,37.6617623,3816
55.820595,37.6602636,9983
55.684816,37.8476783,7333
55.8207786,37.8317666,4239
55.7703953,37.573578,4024
55.8095243,37.6365073,4334
55.8297396,37.446041,5887
55.8296337,37.453888,3307
55.8151108,37.6493475,4701
55.8786846,37.719546,4946
55.8770243,37.7143542,4386
55.8122367,37.6533069,3084
55.7088167,37.4007554,1862
55.7150103,37.4008089,6338
55.7129239,37.4112002,1739
55.717572,37.4075018,6746
55.7477047,37.7077503,5029
55.8134571,37.6496144,5171
55.5041233,37.5594253,4519
55.5079763,37.5676761,5393
55.6898118,37.5406814,7906
55.6861037,37.5360636,1888
55.7418066,37.4963655,2779
55.5002646,37.5703414,653
55.6808605,37.5773929,8299
55.8180669,37.5732953,7484
55.734438,37.7520612,71
55.8587145,37.423835,2924
55.820031,37.6477622,2067
55.7721997,37.4911932,236
55.7917166,37.5833358,1398
55.7828398,37.5906798,7945
55.784464,37.5694957,4395
55.8712271,37.591565,1438
55.6214018,37.7381483,7926
55.864907,37.6041444,8758
55.8651827,37.6035347,4981
55.8678079,37.5919101,3683
55.8608342,37.6418252,3993
55.6657159,37.650689,3325
55.7239388,37.4469163,8009
55.7640485,37.4873907,2659
55.6469628,37.4113327,8775
55.9325726,37.5478709,1919
55.6671926,37.5671812,6449
55.6458972,37.7529472,3606
55.7632249,37.7844909,5127
55.8237157,37.6553609,9555
55.8018202,37.7264751,5185
55.8029531,37.7259804,49
55.8158188,37.715664,4592
55.8355251,37.3547729,8014
55.781977,37.7034561,5319
55.7946198,37.6194384,2345
55.8118888,37.5672654,1344
55.846751,37.3465891,3591
55.8049434,37.7172255,1311
55.8945484,37.5856995,9122
55.6122352,37.5891752,6025
55.6114458,37.5973035,8060
55.6071952,37.5859097,2624
55.6255973,37.5950217,4024
55.8221882,37.6456799,1307
55.8582128,37.5938109,1468
55.636005,37.6730008,8644
55.8259992,37.5692535,4141
55.6263995,37.5201837,6934
55.6620345,37.4694803,5152
55.6460418,37.659736,1233
55.7844629,37.5707213,4987
55.7461615,37.8227316,3100
55.6244997,37.602011,437
55.7985607,37.7934668,9651
56.0057002,37.2058636,1785
55.9862577,37.1469838,3321
55.984325,37.1473404,6685
55.797186,37.7983261,1544
55.6044443,37.5926139,394
55.5505858,37.5563588,7285
55.8811561,37.6939705,2778
55.8860626,37.7014459,4683
55.8806266,37.6947844,5003
55.8868268,37.6901753,8730
55.8069715,37.7137188,8143
55.7930388,37.5596574,248
55.6536571,37.6098971,3370
55.8953078,37.6035478,5551
55.7881639,37.681574,459
55.7342287,37.8525298,9674
55.7549621,37.6218197,8722
55.5827056,37.6500118,4198
55.7783532,37.4944623,1567
55.7782156,37.4611547,6674
55.7754234,37.4699986,3707
55.892802,37.5994379,9606
55.7468232,37.7752917,472
55.746824,37.4089085,3943
55.8622477,37.6199994,9072
55.8707582,37.6412635,3461
55.8508897,37.4126939,2266
55.8465608,37.4183376,2082
55.8499918,37.4172713,2719
55.8562881,37.4786008,9257
55.79766,37.797056,7226
55.8477077,37.423143,6300
55.7385724,37.5457233,7791
55.8378552,37.3809291,2180
55.6148454,37.7210312,4766
55.8638153,37.6810376,1740
55.8091765,37.5298979,6608
55.7100031,37.3921518,7764
55.8112948,37.7296916,9252
55.8140499,37.7335659,2276
55.8116826,37.7297297,242
55.7217884,37.8135394,21
55.5973243,37.7235351,5855
55.6837177,37.4913984,7594
55.9839812,37.1760523,4532
55.7204878,37.8220993,9079
55.7580473,37.6235011,2999
55.5850737,37.1868895,486
55.8249053,37.5633134,6062
55.9768084,37.1608874,9182
55.7234678,37.6104501,9958
55.6384976,37.6638576,6713
55.7221729,37.4178186,194
55.6072423,37.7246153,221
55.8904823,37.5911005,9689
55.7876738,37.4646129,7095
55.7887507,37.4535398,3425
55.7896553,37.4616851,8271
55.7493859,37.7180959,6975
55.6589563,37.5138689,4030
55.7960131,37.5179054,7867
55.8073381,37.7067617,8349
55.7363193,37.6957567,6514
55.7695527,37.7153151,9226
55.6475593,37.5958167,9939
55.6964778,37.7355073,4931
55.760217,37.613706,6568
55.610834,37.6079222,77
55.8379853,37.4026465,4326
55.6589708,37.747877,3940
55.7307096,37.4080234,5685
55.8793566,37.5586772,5519
55.8031922,37.7933954,4480
55.8505484,37.5003292,470
55.8622183,37.4351707,9290
55.5943435,37.6056198,1970
55.8484284,37.3650292,3851
55.8516275,37.5198362,5123
55.8797817,37.5942906,6619
55.7669097,37.408266,1709
55.6488453,37.6564761,1601
55.6380022,37.7617653,1428
55.6399374,37.7711935,4354
55.6872162,37.5842756,1100
55.6892667,37.5827067,7610
55.5336496,37.5175742,5615
55.7622171,37.6018253,7679
55.8212053,37.8702739,4583
55.7740101,37.6144647,9137
55.7868388,37.7334539,9652
55.8405699,37.3811998,4172
55.8637345,37.5691625,9960
55.8627846,37.6022255,6638
55.6781155,37.602974,2287
55.6449867,37.7345239,7709
55.644127,37.7305113,7715
55.7138838,37.7294332,8385
55.8164844,37.4660115,5061
55.5779312,37.5769058,5988
55.6453701,37.4843132,8829
55.7244355,37.5775255,8521
55.6080482,37.7425218,8700
55.7950189,37.8129469,2235
55.7136247,37.6075526,6378
55.7822013,37.462767,7274
55.6466056,37.2702818,4630
55.7499898,37.567442,1489
55.6343297,37.7457859,5235
55.9834718,37.2338643,2241
55.8507363,37.3480568,7550
55.8518198,37.3475316,481
55.6325548,37.7468168,7355
55.8532996,37.386693,2794
55.7845957,37.4736486,7827
55.5791447,37.6827503,4027
55.5815264,37.6847231,6618
55.8329669,37.5323554,8244
55.8515863,37.4385198,7267
55.7339681,37.5702253,7301
55.5480125,37.3229662,9567
55.868019,37.6169207,9184
55.7285674,37.5625755,2049
55.7804562,37.666395,4047
55.7906917,37.7496916,6859
55.625405,37.4838585,9596
55.7182337,37.6219511,9372
55.7052349,37.4789048,2992
55.7812365,37.59887,9818
55.6761502,37.4459258,8040
55.9086297,37.5397652,7178
55.6425477,37.6068007,3480
55.7529524,37.8325056,5931
55.6446571,37.3995653,9572
55.8028727,37.5500819,5873
55.7891099,37.4797784,5894
55.8753962,37.7185084,3958
55.6290654,37.7413234,1177
55.7497092,37.5426329,1544
55.8391202,37.5718386,6073
55.7830545,37.7359098,8715
55.829688,37.6662742,514
55.6523053,37.7679257,7994
55.6765201,37.7674192,4252
55.6537741,37.5778983,1831
55.762241,37.741163,5634
55.7637195,37.7363966,2384
55.8803419,37.6843463,1313
55.7318223,37.4879053,5887
