lat,lon,score
60.0469574,30.3877733,9938
59.9614075,30.3153883,296
59.9627009,30.294257,9260
59.9720253,30.4358669,2836
60.0028311,30.3604361,3803
59.9368426,30.4836375,8149
59.9392389,30.4753217,5049
59.9365111,30.4891133,6258
59.9002424,30.4794242,1651
59.8573855,30.1792148,6622
59.8590975,30.1847402,8696
59.8799689,30.4607617,41
59.8772638,30.4574083,2150
59.9177746,30.3455293,9505
59.8676815,30.4619735,5392
59.8468082,30.2443563,4357
59.8398334,30.2361453,7800
59.8509289,30.1768481,3778
59.9988716,29.7682549,3030
59.9178996,30.2893587,3343
59.7334049,30.5771521,1818
59.8756532,30.399276,7567
59.8727648,30.3914417,2580
59.8711455,30.4060391,6182
59.8487739,30.3126445,8332
59.9898234,30.2568059,487
60.012577,30.2422787,2785
60.0496164,30.3536697,8476
59.8472275,30.3305281,3998
59.8692524,30.3508704,6598
59.9464996,30.469366,2201
59.8904088,30.2707371,9451
60.0327798,30.3846117,4936
60.0264858,30.4123213,2701
59.8284987,30.3980625,44
60.0244876,30.3952878,8824
60.0365095,30.4127906,4459
60.0071788,30.3520746,5125
59.8120158,30.2904344,1505
59.9399571,30.3208061,9879
59.8644392,30.313389,4862
59.9668869,30.3428667,3703
59.8562287,30.2234066,5244
59.8687791,30.31305,9197
59.8527835,30.3821077,4066
59.8552166,30.3251952,5278
59.8513847,30.30855,4449
59.7456788,30.5919925,1966
59.7494948,30.595274,5496
59.7424461,30.5820126,1195
59.7480903,30.5675259,2159
59.7470426,30.6126364,9645
59.7411197,30.5917366,7172
59.8757977,30.4464687,8270
59.8397995,30.3291796,7686
59.8390122,30.3307833,3436
59.9346832,30.2711543,3706
59.9723813,30.3403979,3877
59.9715314,30.3465221,8211
59.9942777,30.1460337,1091
59.840657,30.3175466,552
59.8870323,29.8614209,4647
59.8821179,29.8922049,4125
59.9254723,30.4235541,9811
59.9265595,30.4152703,5858
59.8535136,30.3534871,8593
59.7178622,30.0761483,3433
59.7292286,30.0835227,2762
59.7213982,30.068455,8933
59.8285718,30.1565101,1152
59.8325914,30.1476788,3015
60.0270919,30.323444,732
59.9519805,30.3006939,2743
59.8448614,30.4084304,8301
60.0170353,30.24481,1603
59.9033459,30.2201925,290
59.8986312,30.213377,1044
59.8494025,30.2683088,4856
59.9242609,30.4501295,6326
59.9235465,30.4529942,1455
59.9582908,30.3129693,2397
59.8329921,30.5070632,6528
59.9323364,30.2394515,2351
59.933617,30.2542495,7885
59.7343598,30.4207417,2077
59.9569766,30.3550403,7359
59.9589439,30.3496178,7609
59.9291358,30.3230078,6053
60.0065532,30.1986593,8854
59.9520931,30.2166638,315
59.9491968,30.229477,4679
59.9464697,30.2335144,1004
59.9433156,30.2346274,7003
59.9360541,30.2429516,6952
59.9376588,30.2380163,6871
60.0097768,30.3498161,1933
59.9182547,30.3572146,9317
59.9454718,30.3490332,5470
60.0057908,30.4283023,2918
60.0063432,30.4261733,7971
59.7408235,30.5836052,268
59.9976407,30.3716625,749
59.7412485,30.5784058,8891
59.8582713,30.3789094,5704
59.8382066,30.2699787,4175
59.8384653,30.2704824,5179
60.0340084,30.3673203,7319
60.011225,30.4010258,8613
59.8364684,30.4038685,3620
59.8595384,30.324109,2658
59.8530811,30.2203831,3466
60.0593574,30.3353886,8991
59.8350613,30.1412673,2639
60.0443526,30.378864,6582
60.0548457,30.3287135,981
59.9149981,30.486173,3653
59.9891856,29.7637069,5928
59.847191,30.207579,7497
59.8815762,30.2691601,1022
59.8686123,30.2606188,1474
59.810229,30.3812411,4595
59.92667,30.3083673,572
60.0348447,30.3937294,6473
59.9262,30.4090726,5384
59.9222406,30.4833202,2833
60.0175482,30.2390467,8685
60.0212249,30.2272919,6283
59.8588463,30.2488187,9886
59.7350503,30.6123912,6859
59.927631,30.3117314,6018
59.9382023,30.2830356,7938
59.9417825,30.2757395,8340
59.9876221,30.294622,6087
59.8778768,30.2718469,8018
59.9357815,30.2826638,7624
59.9367644,30.2796848,9814
59.9360349,30.2831308,529
59.9226123,30.4788504,1675
59.9221417,30.443945,9430
59.965821,30.3127626,3387
59.9616081,30.298762,3469
60.0526943,30.3422594,1773
59.9592479,30.304166,5041
59.940805,30.2817915,6128
59.9415405,30.2809231,9773
59.9416944,30.2809233,1374
59.9592618,30.4400504,4265
59.9535946,30.4347968,9376
59.9673984,30.3096661,9134
59.9608168,30.3032878,8275
59.8423673,30.3627534,9489
59.8304403,30.3773443,3606
59.9191342,30.3392889,6074
59.9991313,30.2882853,8494
59.9995104,30.2943472,4282
59.9424573,30.2615063,3220
59.8456074,30.3781449,4558
59.8420707,30.3924287,5679
59.8355829,30.3660022,5103
59.8784529,30.2660331,8053
59.9270391,30.3559769,2616
59.9990934,30.361619,5972
59.9228162,30.4208462,8204
59.8099963,30.5692999,6443
59.8548966,30.3746354,4591
59.9545205,30.4363322,6568
59.8380806,30.3979304,6293
59.7388968,30.6228076,6408
59.947037,30.3823762,9027
59.9399905,30.2684088,191
59.9448073,30.266079,4554
59.7362871,30.6175579,6588
59.707196,30.4157213,2361
59.9240622,30.3367755,2301
59.8350751,30.2216515,7188
60.0278607,30.2236178,119
59.918506,30.3460359,9073
60.0520734,30.3326016,2307
59.8988112,30.2744521,8917
59.7332408,30.5776001,4092
59.8564531,30.2095612,688
59.9786873,30.4209533,8433
59.9839979,30.4006162,2093
59.8746664,29.8995863,6442
59.9884066,30.3112042,5466
59.9918203,30.3070911,581
59.9141025,30.3094675,7028
59.9284697,30.3048304,2461
59.9262409,30.358565,1569
59.9573418,30.3072002,2002
59.9669767,30.3100769,8278
60.0894701,29.953784,2564
60.0140846,30.250924,8818
60.1035311,29.9758128,6775
60.092528,29.9570066,2273
59.86332,30.3040345,6044
59.944049,30.227546,8808
59.9123223,30.2978315,8186
60.0149715,30.3159563,1676
59.9116802,30.3069503,749
59.9140327,30.323598,6334
59.8514735,30.271824,6847
60.1988993,29.6998907,8967
59.9157367,30.3048399,3414
59.9249362,30.4952649,1303
59.741609,30.4174578,7551
59.9184085,30.4960431,4585
59.9936922,30.3151646,7591
59.8383982,30.2522433,508
59.9187965,30.482377,8175
60.0323332,30.4013127,5224
59.9001639,30.400706,6409
60.0167012,30.3366482,8552
60.0164478,30.3370389,5527
59.840701,30.2428519,437
59.8695324,29.8543318,7851
59.85515,30.2408581,8621
59.7860955,30.1119687,1496
60.000095,30.2479798,1975
59.913195,30.2772759,3304
59.921656,30.2865236,8983
59.8365457,30.2456021,2712
59.8420711,30.4897164,8504
59.8371577,30.5112775,1524
59.7503749,30.5670817,5539
59.8420378,30.1312615,9651
59.8786646,30.460559,3545
59.8968584,30.4213837,6368
60.0224258,30.2398232,396
59.8642638,30.3993911,4866
59.6858387,30.4322298,9428
59.685785,30.4238157,1838
60.0370977,30.3311178,6576
60.0097828,30.358752,6215
60.0470886,30.3517895,3167
59.9380027,30.2773938,2600
59.8761847,30.3269904,7252
59.9713915,30.4234727,7321
59.8477273,30.1882996,4856
59.8416571,30.15852,5126
59.8642899,30.3727861,2754
60.0091652,30.3263007,4540
59.9592456,30.4904647,6919
59.8551429,30.3001927,4531
60.0377414,30.3252606,6957
59.9235062,30.2915225,5899
59.9223189,30.2924764,4009
59.8523753,30.2514239,1556
59.8766777,30.392301,184
59.7384425,30.4090713,2100
59.9549289,30.4689533,2137
60.0068668,30.4242088,7038
59.9312883,30.3480975,5829
59.9301276,30.3473586,6598
59.8601198,30.2486481,9949
59.9318436,30.356418,7568
59.9320095,30.3165455,1744
60.0082694,30.2119955,58
59.9886587,30.3350161,6021
59.888968,30.2718902,9025
59.9649109,30.2978147,3899
59.9444662,30.2384445,4454
59.9836098,30.4355574,2457
59.9593435,30.4217357,7070
59.950575,30.4703052,1390
59.9476701,30.3502175,2027
59.9535095,30.4785478,965
59.9883501,30.3410641,7770
59.8930216,30.3185019,7562
59.9391576,30.3669957,3007
60.0105714,30.4181474,9600
60.0157516,30.3993015,4583
60.0191124,30.402682,2782
59.7387312,30.089764,8230
59.8445741,30.2637986,8147
59.9158688,30.3254833,2834
59.9813961,30.4082522,204
59.9755983,30.4007666,4587
59.9736443,30.3989324,4924
59.9720528,30.387506,1774
59.8317851,30.3896535,2869
59.9447916,30.4966144,9237
59.9652821,30.3155102,6497
59.8318421,30.3458295,167
60.0130791,30.4296375,513
59.7815754,30.1363243,3517
59.9948966,29.7613623,4880
59.9695316,30.4051186,9392
59.9746988,30.3909617,7886
59.9785709,30.3992371,2824
59.9113636,30.2894225,8842
60.0025329,30.324535,7157
59.9085185,30.2965676,3154
59.9188937,30.3102794,2318
60.0132329,30.3680709,5824
59.9334296,30.2535671,9321
59.904992,30.4832148,5821
59.942874,30.3463749,1489
59.8851904,30.4270619,1595
59.940461,30.2687194,4977
59.8741073,30.3046004,8597
59.9117096,30.2825035,7426
59.851052,30.2402224,9897
59.9051373,30.3192114,9491
59.9068784,30.3188311,6140
59.8595438,30.3146376,4790
59.8604946,30.3145939,6724
59.8658821,30.4556443,2788
59.9111729,30.3180574,79
59.8782033,30.3574527,9773
59.9393882,30.361585,1033
59.9329726,30.2928849,6823
60.0285266,30.2961675,9334
59.8525045,30.2603398,9440
59.925525,30.2834147,4770
60.0634475,30.3076831,1749
60.0478834,30.3751857,778
60.0432005,30.3334539,5750
60.0424423,30.3409348,2671
59.9950535,30.3441791,6729
60.042998,30.3265485,5394
60.0075231,30.2938732,5698
59.9478561,30.2734518,259
60.0045337,30.2059992,4030
59.8474909,30.3053795,9267
59.8480588,30.3152605,9823
59.9382129,30.3721687,1519
59.9399036,30.2669531,7031
59.8614637,30.3327034,931
59.8412834,30.1743555,2712
59.8462676,30.2452475,311
60.038931,30.4001405,901
59.9389787,30.3549747,3206
59.9888227,30.2171574,6934
59.9397298,30.4951885,4782
60.0262939,30.2245685,1764
60.0084303,30.2622419,3506
60.0179416,30.2437278,1297
60.0216283,30.2451159,3043
59.9042745,30.4769294,7131
59.8971618,30.2775638,4002
59.9007057,30.2720625,6333
59.9931102,30.3337721,4589
59.9435901,30.3887828,3456
60.0099584,30.3523596,5689
60.0099277,30.3522872,2510
60.0360806,30.3453635,707
60.0417616,30.3403534,9250
60.0087893,30.3437683,3898
60.0030301,30.333463,1305
60.0212454,30.3263033,4557
59.8709832,30.3113125,1005
59.9499884,30.4881182,3780
59.9235767,30.45672,6226
59.9458419,30.4895632,1472
59.8562203,30.2558454,1949
60.035382,30.3862582,4698
60.0851683,29.9544849,3432
59.856952,30.2558789,4696
60.0077548,30.3989085,5546
60.0835372,29.9547778,9824
59.8739201,30.2580803,4117
60.0750085,30.2362141,2688
59.943503,30.2614374,9607
59.8284435,30.3341787,1943
59.9801652,30.5079674,5988
60.0000674,30.3158826,9048
59.9097383,30.2752899,7431
59.9429621,30.3219292,715
59.8366739,30.3580444,5312
59.856218,30.3063585,2724
59.8601161,30.3065989,274
60.0038013,30.2039582,7094
59.8714649,30.3162751,7559
59.8702599,30.3789599,9009
59.955075,30.2972949,7178
59.9421739,30.4694473,1290
59.8819866,29.8288339,2108
59.8299256,30.2037444,5853
60.0365454,30.4201358,2239
60.0315525,30.4305738,8122
60.0337019,30.4254468,1400
60.0339345,30.4206609,117
60.0403838,30.3723846,7889
60.0385195,30.370763,7867
60.0388226,30.3709529,266
60.0125196,30.3982562,6686
59.9458414,30.2154166,7360
59.9833833,30.2147719,6331
59.7252024,30.4161979,4730
59.927633,30.4714382,9963
60.053146,30.389188,7270
59.9440006,30.2644328,9809
59.9666872,30.2875985,3222
59.9577948,30.3202371,4971
59.8396045,30.1471122,1620
59.8404123,30.3103137,8213
59.8335117,30.1783915,1881
59.8325975,30.1828939,5271
59.8354608,30.1766223,8935
59.9190184,30.3129192,3229
60.0520665,30.3631871,7643
59.8755946,30.3358946,7123
59.8559694,30.3603663,3071
59.9285957,30.377509,7358
59.9373736,30.3714267,5260
59.8768888,30.43752,1811
59.8071502,30.3717333,9127
59.9797791,30.3448146,4158
60.023499,30.2835326,8341
59.9627617,30.4126911,7565
60.1713328,29.871038,2862
59.8497861,30.2812962,3134
59.8501642,30.2812881,1117
59.9112807,30.3476646,5327
59.8300536,30.5138753,9838
59.8265043,30.3270433,1836
59.8798334,30.4633619,9698
59.9349361,30.4070298,1621
59.936734,30.4078024,8462
59.9164407,29.7715185,5462
59.8766844,30.3765699,6626
59.9076228,30.3460296,134
59.835523,30.4269258,7865
59.95883,30.2967715,2841
60.000065,30.2080138,9647
59.8283332,30.3839659,5126
59.942454,30.2320875,5900
59.8674307,30.2748403,8885
59.8586263,30.3382009,9038
59.9228804,30.3078135,3210
59.9166681,30.2871431,6179
59.8718365,30.2587535,1832
59.9185299,30.2812814,808
59.836927,30.2633426,6462
59.9257958,30.3151018,7726
59.8693475,30.439542,586
59.8735342,30.2582756,8403
59.8599726,30.2369314,3416
59.8514896,30.2648368,4579
59.6852966,30.4536792,6417
60.0003331,30.3634129,7163
59.9102224,30.314021,2517
59.9303211,30.3451502,9608
59.8658752,30.3844395,6629
59.9589473,30.4274901,8956
59.9243227,30.3052909,1648
59.9834211,30.3967348,9554
59.8395481,30.4939472,2723
59.8761487,30.3240146,9505
59.8730709,30.2648759,826
59.855883,30.4762488,2997
59.8579556,30.1976916,805
59.9417734,30.3467838,4127
59.9389699,30.3480213,2624
59.9396765,30.3453619,562
59.9440814,30.3576185,8590
59.9441023,30.3556076,3369
59.9402173,30.34492,5649
59.8579658,30.180229,2359
59.860426,30.1867519,3624
59.9454165,30.3621246,4920
59.7823096,30.6376516,883
59.7792413,30.6467722,475
59.9265816,30.332206,7160
59.9462137,30.3666034,7769
59.8448627,30.2718899,6322
59.9238356,30.3292796,3732
59.882676,30.4717767,887
59.8587049,30.194724,2488
59.8906788,30.4175433,5326
59.8620945,30.1955494,9566
59.9858267,30.2916263,5563
59.9858542,30.2928979,578
59.8271408,30.1406157,6731
59.9122573,29.7768828,6720
59.9104274,29.7727893,6717
59.9043655,29.7700743,3334
59.8777008,29.8954388,6485
60.0492295,30.3459652,3994
59.8526814,30.0356698,3594
59.9911642,30.4289397,7668
59.8453156,30.3892156,8242
59.8769068,30.274441,7216
59.924837,30.47582,6448
59.8523841,30.2304389,2068
60.0258285,30.2975185,2282
60.0274494,30.2966524,3754
60.0076754,30.420873,2626
59.8745125,30.2618272,2567
59.738108,30.4636909,6946
60.0074992,30.4175095,828
60.0081035,30.4071946,2156
60.0377234,30.3439852,6513
60.0385965,30.3579555,3250
59.9263283,30.3470236,6134
59.7298695,30.4087598,2256
60.046057,30.3370158,1756
59.9632377,30.415153,3779
59.93561,30.2690489,7009
60.0023883,30.29905,9053
59.9853047,30.2650319,7228
59.9555382,30.4098004,6128
59.9870259,30.2902866,9194
59.6819216,30.4635279,4265
60.0622554,30.3068585,1257
59.996911,30.3805842,9463
59.8758374,30.2710482,251
60.0193615,30.2684105,6515
60.020135,30.2683493,6829
59.8750689,30.3750595,3060
60.01895,30.3218251,8941
59.9809749,30.3523142,3714
60.0146901,30.3928874,2016
59.9658158,30.397165,8675
60.009722,30.3499226,2937
59.942119,30.3488338,6365
59.9920796,30.3101332,9319
59.9714318,30.3061706,5155
59.8523489,30.2462264,5260
59.8623696,30.347449,3493
59.9737532,30.3889155,4
59.9908123,30.2593435,6678
59.9586201,30.4158957,7594
59.9536953,30.308983,2201
60.0248056,30.4281836,1144
